"name"	"country_code"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Denmark"	208	5815.207	5998.796	6195.671	6375.211	6535.999	6693.075	6875.563	7092.266	7342.888	7614.842	7903.101	8207.596	8530.84	8875.714	9249.861	9654.549	10082.479
"Estonia"	233	1303.247	1295.213	1284.073	1273.456	1267.897	1267.607	1269.71	1276.907	1283.746	1293.915	1309.13	1328.045	1353.318	1383.446	1421.077	1460.869	1505.548
"Finland"	246	5633.232	5764.808	5879.007	5955.029	6018.573	6084.17	6176.785	6292.047	6421.296	6568.774	6719.432	6881.14	7055.419	7252.978	7475.252	7714.429	7965.999
"Iceland"	352	342.386	355.761	368.601	379.424	388.49	397.043	405.139	413.731	423.028	432.615	442.273	451.544	460.608	470.571	481.699	494.35	508.073
"Ireland"	372	4785.165	4861.957	4942.926	5018.152	5120.073	5222.336	5327.094	5414.347	5486.495	5559.85	5645.748	5760.028	5905.178	6086.668	6276.925	6453.501	6632.952
"Latvia"	428	1882.499	1805.004	1727.165	1652.945	1594.858	1546.603	1507.386	1479.913	1456.428	1440.321	1431.176	1432.148	1441.342	1461.874	1489.151	1517.983	1545.247
"Lithuania"	440	2681.912	2516.202	2360.693	2207.626	2067.828	1950.694	1859.523	1787.564	1724.517	1669.739	1625.886	1602.73	1599.609	1614.141	1636.222	1657.995	1673.825
"Norway"	578	5582.989	6008.029	6465.288	6924.588	7380.499	7868.046	8397.007	8971.713	9593.081	10257.924	10952.575	11697.943	12506.628	13358.506	14264.954	15227.184	16239.881
"Sweden"	752	10210.111	10667.84	11102.095	11493.483	11894.149	12339.558	12864.671	13433.156	14036.051	14664.05	15343.428	16089.264	16897.788	17743.635	18659.539	19678.45	20758.121
"United Kingdom"	826	66994.933	69386.914	71649.763	73740.549	75798.173	77931.187	80311.753	82873.582	85512.779	88253.461	91211.325	94505.01	98091.117	101976.913	106147.926	110566.833	115189.759
"Albania"	8	2944.296	3010.359	3059.875	3078.963	3081.923	3100.912	3126.785	3159.65	3188.555	3227.26	3262.515	3301.722	3332.343	3351.829	3382.391	3420.939	3477.848
"Bosnia and Herzegovina"	70	3761.916	3696.63	3605.501	3498.333	3369.15	3241.126	3131.791	3034.962	2936.431	2835.52	2738.111	2645.734	2574.392	2532.853	2513.056	2505.404	2499.203
"Croatia"	191	4166.631	4093.983	4022.875	3947.138	3871.603	3800.474	3740.179	3690.33	3647.065	3605.931	3571.834	3549.172	3548.172	3561.119	3588.739	3630.489	3674.58
"Greece"	300	10770.61	10595.179	10443.05	10297.705	10178.395	10048.128	9913.942	9756.386	9593.414	9438.725	9315.34	9256.887	9248.519	9307.19	9431.988	9575.328	9750.814
"Italy"	380	59898.828	59900.556	59867.959	59712.715	59536.371	59287.16	58976.207	58646.29	58392.643	58291.39	58346	58640.258	59358.106	60369.672	61660.189	63138.558	64811.841
"Malta"	470	425.973	434.335	442.489	447.493	449.693	450.426	453.418	458.709	465.856	472.17	476.884	481.079	486.974	495.066	505.599	518.834	532.904
"Montenegro"	499	626.46	623.605	619.845	611.281	601.092	589.284	578.755	570.218	563.584	557.951	551.475	546.359	543.558	541.467	541.264	542.33	543.923
"Portugal"	620	10143.825	9976.198	9811.557	9619.968	9419.341	9183.619	8949.331	8714.872	8471.807	8231.394	8020.943	7835.399	7706.592	7637.061	7624.236	7622.267	7646.536
"Serbia"	688	8697.424	8571.408	8461.166	8314.505	8154.715	8017.425	7933.97	7880.33	7839.983	7816.417	7800.764	7811.303	7845.085	7922.842	8009.919	8120.082	8230.408
"Slovenia"	705	2086.36	2097.674	2101.874	2102.474	2103.854	2108.2	2115.325	2122.896	2131.561	2143.477	2163.062	2198.291	2248.397	2314.83	2393.272	2477.464	2566.653
"Spain"	724	45878.578	45604.826	45275.77	44921.298	44542.268	44094.764	43503.19	42757.834	41863.111	41075.327	40467.84	40103.967	40143.095	40500.282	41178.066	41913.866	42737.475
