"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Eritrea"	232	"5-9"	410.691	427.061	432.893	453.078	486.269	506.806	513.519	515.024	511.878	515.87	517.383	531.577	523.259	512.136	498.364	477.447	468.772
"Eritrea"	232	"10-14"	389.555	408.504	425.278	432.426	450.786	485.377	505.648	509.224	513.189	511.69	513.937	515.512	525.351	517.792	509.811	491.756	472.623
"Eritrea"	232	"15-19"	326.266	384.192	403.567	420.932	426	445.052	474.17	502.003	503.209	510.882	505.981	511.516	509.913	517.613	513.649	502.026	474.652
"Eritrea"	232	"20-24"	254.022	318.162	375.612	396.345	411.273	415.585	433.502	460.571	493.153	496.005	503.323	496.676	491.815	501.564	506.641	500.765	481.627
"Eritrea"	232	"25-29"	227.946	247.335	308.496	368.72	386.382	398.735	404.213	422.464	451.304	479.446	491.014	491.527	482.262	479.699	491.003	484.525	476.578
"Eritrea"	232	"30-34"	227.348	222.176	239.271	302.819	360.374	376.521	390.926	393.208	415.315	439.571	471.294	478.667	475.546	470.63	472.279	482.293	469.678
"Eritrea"	232	"35-39"	197.26	221.753	215.633	234.501	297.613	352.473	370.726	380.514	392.034	408.351	436.381	466.926	469.521	470.877	467.03	469.052	468.529
"Eritrea"	232	"40-44"	142.424	191.661	215.513	210.994	229.297	290.276	347.764	366.673	374.283	385.575	403.095	431.575	460.106	462.894	466.251	460.57	462.145
"Eritrea"	232	"45-49"	94.059	137.079	185.309	209.054	205.431	223.96	286.056	342.032	360.251	367.884	378.854	395.197	425.375	453.181	457.517	460.595	456.316
"Eritrea"	232	"50-54"	68.857	88.966	130.752	177.863	202.152	199.65	218.984	278.368	333.885	351.693	360.266	372.828	389.596	418.254	444.106	452.011	454.925
"Eritrea"	232	"55-59"	55.202	63.431	82.964	123.296	169.415	193.39	191.788	209.885	267.973	323.5	343.261	351.149	361.177	382.454	408.363	436.81	442.451
"Eritrea"	232	"60-64"	43.549	48.834	57.208	75.966	114.069	158.323	182.271	179.909	198.962	256.583	307.771	327.878	339.653	349.166	369.646	395.538	425.691
"Eritrea"	232	"65-69"	30.287	36.204	41.692	49.694	67.136	102.411	143.86	166.767	166.291	183.989	238.825	290.982	308.747	322.117	333.019	350.758	378.735
"Eritrea"	232	"70-74"	21.235	23.109	28.625	33.864	41.428	57.47	89.461	128.063	150.522	149.907	167.364	220.043	271.031	291.69	304.464	314.629	331.795
"Eritrea"	232	"75-79"	10.209	14.407	16.43	21.152	25.96	32.804	46.769	74.947	110.494	131.838	131.588	147.435	199.612	249.892	269.533	281.759	289.628
"Eritrea"	232	"80-84"	3.9	5.817	8.771	10.59	14.272	18.261	24.06	35.649	59.254	89.852	110.29	112.216	126.228	172.207	217.714	237.452	253.162
"Eritrea"	232	"85-89"	1.141	1.812	2.937	4.695	6.026	8.558	11.606	15.992	25.087	43.185	67.482	84.052	87.383	100.314	139.62	178.362	198.569
"Eritrea"	232	"90-94"	0.245	0.408	0.702	1.223	2.092	2.878	4.39	6.321	9.322	15.364	27.491	44.16	56.268	60.454	70.469	100.238	132.794
