"name"	"country_code"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"China, Macao SAR"	446	618.076	635.249	633.11	630.509	616.495	590.911	566.373	538.233	508.197	476.983	444.333	411.011	377.831	346.677	320.228	298.79	282.371
"Dem. People's Rep. of Korea"	408	25558.93	25750.486	25739.013	25584.971	25279.119	24829.899	24202.27	23456.655	22665.763	21863.763	21058.092	20209.421	19315.193	18368.35	17406.73	16448.219	15525.859
"Japan"	392	124161.728	120620.245	116369.524	111888.205	107251.964	102643.79	97968.618	93266.376	88340.093	83199.004	78058.474	73126.013	68629.169	64474.811	60570.042	56842.899	53263.521
"Mongolia"	496	3148.023	3284.232	3380.046	3460.059	3531.284	3589.926	3628.419	3646.44	3632.501	3591.26	3531.41	3460.474	3374.773	3274.485	3157.917	3038.199	2915.232
"Republic of Korea"	410	50768.761	50686.998	50242.682	49556.903	48452.414	46964.77	45069.507	42832.529	40334.938	37773.686	35205.162	32703.461	30284.529	27982.613	25735.688	23648.324	21745.434
"China, Taiwan Province of China"	158	23204.711	22802.38	22291.463	21661.304	20899.862	19958.423	18868.243	17642.75	16335.634	15039.623	13757.043	12518.892	11343.625	10228.743	9177.854	8223.798	7393.579
"Kazakhstan"	398	18618.11	19237.338	19610.447	19857.55	20085.408	20290.339	20272.047	20083.317	19723.852	19279.869	18698.868	18104.786	17471.835	16843.212	16202.036	15479.521	14783.978
"Kyrgyzstan"	417	6349.702	6680.917	6941.723	7206.948	7456.331	7666.478	7825.327	7935.472	7969.928	7949.687	7878.799	7780.911	7657.16	7494.228	7325.832	7108.794	6841.153
"Tajikistan"	762	9327.679	10071.024	10678.185	11296.006	11880.682	12437.046	12878.563	13205.083	13400.99	13522.013	13561.973	13480.612	13271.362	12995.446	12668.7	12296.152	11866.973
"Turkmenistan"	795	5654.467	5861.221	5988.772	6079.064	6119.358	6116.547	6063.818	5954.95	5784.315	5583.688	5354.528	5100.396	4836.419	4563.525	4288.768	4027.462	3772.459
"Uzbekistan"	860	31531.084	32683.232	33409.786	33960.725	34308.269	34329.095	33996.555	33239.24	32293.938	31144.566	29817.614	28378.026	26792.357	25176.341	23530.481	21944.263	20366.915
"Afghanistan"	4	36437.796	39719.137	42785.822	45111.82	47493.96	49275.106	50895.813	51748.78	52430.152	52193.99	51808.25	50743.333	49422.026	47557.966	45250.222	42686.04	40081.199
"Bangladesh"	50	168482.907	173809.881	177399.946	179657.629	180639.031	180050.63	177983.466	174643.491	170234.06	164692.64	158051.253	150475.962	142270.397	133380.865	124173.958	114874.907	105468.302
"Bhutan"	64	812.372	839.868	854.055	865.052	866.564	863.074	852.089	833.756	809.78	781.529	748.581	712.031	669.54	630.444	587.275	546.218	506.402
"India"	356	1376222.55	1429126.2	1470235.151	1502535.835	1524228.859	1532832.778	1528755.205	1513167.917	1487717.561	1453220.194	1409785.891	1358247.221	1300929.349	1240917.16	1178345.336	1113904.505	1048214.734
"Iran (Islamic Republic of)"	364	82573.907	84761.523	85790.634	86463.927	86967.384	87054.773	86434.078	84827.419	82123.721	78532.515	74136.015	69373.404	64525.939	60122.921	55938.176	51945.527	48051.163
"Maldives"	462	386.902	402.98	413.043	420.122	425.365	428.072	426.325	419.574	408.22	393.434	375.945	356.44	335.054	312.039	288.855	265.841	243.848
"Nepal"	524	29856.622	30867.92	31496.149	31889.949	31993.211	31832.23	31408.553	30706.826	29750.058	28568.577	27175.223	25555.19	23734.238	21709.756	19556.463	17339.037	15163.232
"Pakistan"	586	206079.003	221399.603	234895.722	247314.447	258819.656	268552.428	275288.262	279317.717	280739.392	279613.987	276380.192	271208.599	263742.902	254511.448	243888.273	232277.355	220020.351
"Sri Lanka"	144	20937.047	20910.248	20676.738	20345.972	19917.837	19368.778	18654.423	17804.889	16859.346	15853.24	14833.054	13788.447	12708.989	11604.434	10497.09	9401.732	8320.962
"Brunei Darussalam"	96	446.042	463.657	476.101	485.309	491.551	492.625	489.231	480.104	466.092	449.982	430.243	409.053	386.277	363.583	340.994	319.402	297.944
"Cambodia"	116	16695.157	17656.977	18497.279	19302.648	20033.035	20658.187	21105.901	21388.037	21520.278	21486.957	21292.01	20908.994	20301.738	19588.946	18821.718	17976.709	17118.155
"Indonesia"	360	269516.256	278276.222	284391.502	288607.126	291069.721	291100.324	288630.177	283861.403	277502.632	269919.757	261335.728	252190.984	242209.012	231617.318	220311.908	209143.651	197943.717
"Lao People's Dem. Republic"	418	7311.588	7739.577	8063.891	8360.313	8598.497	8756.765	8841.719	8859.348	8804.5	8683.782	8496.635	8203.818	7854.744	7441.04	6986.536	6499.244	5987.739
"Malaysia"	458	32244.571	33876.024	35154.315	36185.715	36963.904	37469.057	37673.411	37645.288	37404.68	36913.259	36200.859	35340.874	34319.498	33199.043	32034.671	30852.161	29674.632
"Myanmar"	104	55330.919	56226.146	56578.485	56514.375	55979.664	54953.642	53417.748	51436.779	49162.913	46676.3	44020.67	41238.072	38356.835	35412.007	32541.368	29800.092	27223.022
"Philippines"	608	107261.005	112813.215	117328.426	121313.458	124450.522	126704.578	127811.579	127928.663	127124.94	125323.795	122717.873	119371.62	115369.173	110852.86	105887.957	100651.749	95171.138
"Singapore"	702	6048.412	6416.17	6722.529	6943.256	7090.657	7163.109	7161.553	7067.645	6908.685	6710.819	6486.078	6240.043	5975.223	5676.418	5358.535	5033.871	4723.968
"Thailand"	764	68115.618	67322.463	65863.182	64062.131	61743.992	58956.396	55850.806	52564.561	49172.858	45713.573	42304.168	39068.991	35970.286	32996.86	30195.709	27611.135	25328.554
"Timor-Leste"	626	1343.424	1508.999	1671.13	1834.718	2001.175	2164.591	2338.55	2477.938	2601.504	2713.847	2811.784	2894.579	2958.066	2993.805	3003.334	2997.105	2961.389
"Viet Nam"	704	97086.016	99679.8	101022.501	101566.647	101544.577	100946.19	99519.699	97229.894	94138.606	90509.559	86522.333	82234.085	77725.799	73092.619	68413.996	63852.49	59426.822
"Armenia"	51	3027.034	2984.928	2915.146	2824.078	2725.181	2623.983	2504.86	2372.284	2234.749	2089.108	1938.152	1783.158	1630.255	1490.874	1366.653	1250.281	1138.721
"Azerbaijan"	31	10162.212	10357.239	10395.303	10383.083	10305.803	10137.793	9874.064	9531.08	9155.796	8745.509	8311.485	7865.96	7413.246	6972.689	6554.152	6163.33	5805.389
"Bahrain"	48	1450.984	1481.57	1490.36	1469.947	1467.512	1435.435	1386.42	1312.652	1235.993	1156.446	1071.008	987.926	922.77	869.875	811.366	763.54	719.122
"Cyprus"	196	1198.294	1215.113	1213.208	1205.224	1188.863	1166.94	1137.781	1098.7	1051.9	1001.171	943.463	881.24	816.825	753.543	692.537	636.596	585.341
"Georgia"	268	3761.888	3509.295	3266.193	3032.47	2814.09	2605.408	2390.787	2166.575	1949.898	1752.732	1574.161	1412.527	1267.39	1135.586	1022.408	923.888	837.156
"Iraq"	368	41693.826	46898.557	52166.081	57640.842	63153.497	68591.042	73812.085	78865.649	83550.759	87842.896	91890.883	95378.248	98257.827	100516.704	102091.084	103169.72	103691.012
"Israel"	376	8625.177	9113.917	9558.608	10048.273	10537.724	10969.624	11381.564	11741.972	12004.707	12208.75	12388.624	12499.648	12573.397	12616.34	12597.151	12547.95	12407.589
"Jordan"	400	8465.484	9243.867	9905.501	10495.506	11072.369	11611.476	12040.342	12396.702	12729.914	12883.235	12907.214	12871.497	12864.143	12671.747	12415.993	12052.341	11635.345
"Kuwait"	414	4525.927	4943.166	5152.643	5310.319	5419.846	5454.323	5455.94	5355.435	5248.495	5145.347	5008.185	4862.336	4772.707	4631.494	4538.098	4344.816	4117.811
"Lebanon"	422	6698.776	6955.143	6961.081	6933.717	6977.751	6957.462	6976.157	6992.779	6962.121	6891.864	6785.348	6598.808	6375.966	6080.684	5767.709	5438.435	5127.342
"Oman"	512	6030.99	7420.252	8411.639	9114.276	9418.784	9531.039	9431.647	9148.4	8773.878	8417.077	8107.683	7768.526	7404.057	7046.006	6654.416	6284.874	5939.42
"Qatar"	634	2642.568	3001.169	3229.005	3503.623	3629.351	3809.861	3981.121	4120.41	4150.58	4173.963	4183.976	4102.652	4100.761	3997.622	3921.187	3873.146	3702.722
"Saudi Arabia"	682	34404.873	36672.445	38397.197	39608.136	40268.877	40342.939	39740.693	38756.986	37398.09	35777.156	34122.779	32443.517	30858.425	29104.5	27291.497	25448.775	23695.867
"State of Palestine"	275	5265.77	5832.281	6384.549	6960.517	7495.294	7976.168	8397.775	8727.314	9080.824	9403.01	9683.605	9884.449	10048.282	10102.084	10043.406	9912.95	9694.016
"Syrian Arab Republic"	760	18341.893	18752.313	19380.092	20217.074	20891.009	21375.232	21565.583	21642.945	21561.638	21367.263	21046.684	20560.373	19760.287	18657.64	17500.53	16347.977	15197.72
"Turkey"	792	83543.703	87386.382	90444.435	93007.512	95045.809	96350.267	96673.338	96171.083	94987.562	93218.524	91010.901	88402.784	85417.518	82087.576	78354.349	74395.816	70111.674
"United Arab Emirates"	784	10061.048	11263.619	12144.393	13236.023	13918.117	14569.98	15050.621	15214.677	15166.316	14954.923	14892.874	14790.744	14710.503	14520.326	14298.525	14053.921	13871.735
"Yemen"	887	29878.916	32603.429	34948.193	37116.969	38976.027	40392.004	41398.939	41853.52	41760.29	41113.833	40064.032	38709.252	36976.28	34951.568	32828.918	30578.842	28260.685
"Europe"	908	731947.203	720216.814	704421.333	686987.952	668286.532	648273.105	626294.688	602017.536	575956.791	549792.062	524395.094	500625.431	478167.421	456817.154	436393.648	416349.967	397013.275
"Belarus"	112	9358.176	9127.08	8826.579	8496.525	8165.078	7835.537	7501.545	7145.659	6774.745	6411.528	6066.191	5745.874	5457.798	5186.077	4936.044	4695.734	4465.475
"Bulgaria"	100	6827.337	6462.259	6070.468	5677.875	5302.685	4948.558	4606.461	4265.18	3922.647	3588.423	3279.021	2997.343	2752.211	2540.49	2346.8	2150.963	1955.205
"Czech Republic"	203	10436.108	10231.733	9949.563	9625.738	9287.669	8958.646	8623.524	8252.989	7841.006	7396.431	6952.346	6531.243	6149.075	5805.914	5495.466	5190.664	4893.361
"Hungary"	348	9575.141	9234.041	8849.444	8446.434	8041.48	7647.515	7252.459	6850.441	6430.221	6000.201	5576.395	5174.565	4804.023	4463.452	4145.175	3846.062	3566.337
"Poland"	616	37951.362	36822.429	35412.712	33863.851	32215.137	30516.371	28710.775	26842.725	24907.064	22933.88	20955.899	19004.589	17104.757	15358.015	13781.798	12365.474	11078.92
"Republic of Moldova"	498	3983.723	3848.204	3682.406	3501.68	3305.547	3100.621	2884.646	2658.989	2426.332	2186.772	1945.374	1712.135	1500.965	1320.062	1166.625	1029.133	904.494
"Romania"	642	18559.815	17517.116	16443.042	15348.546	14254.637	13179.267	12102.991	11014.626	9942.204	8894.214	7912.103	7028.4	6230.318	5516.17	4872.486	4280.563	3727.068
"Russian Federation"	643	141445.466	138174.219	133894.041	129314.978	124605.898	120055.669	115543.496	110882.695	105914.569	100813.897	95828.66	91380.646	87408.061	83796.222	80313.642	76769.726	73341.8
"Slovakia"	703	5367.307	5250.708	5083.318	4884.091	4665.379	4437.587	4201.322	3954.447	3691.273	3416.246	3140.555	2879.302	2636.769	2417.753	2217.419	2028.853	1853.942
"Ukraine"	804	43454.38	41741.939	39836.454	37881.437	35945.447	34048.322	32160.635	30210.34	28214.574	26238.34	24372.978	22692.56	21222.78	19895.643	18662.54	17462.787	16332.517
"Channel Islands"	830	165.973	167.085	167.538	167.515	166.697	165.14	162.606	159.136	155.45	151.77	148.271	144.917	141.736	138.304	135.041	131.715	128.814
"Denmark"	208	5739.472	5783.223	5796.369	5786.453	5757.863	5710.223	5642.799	5555.91	5454.298	5352.218	5255.718	5159.061	5048.09	4920.205	4773.297	4622.279	4478.254
"Estonia"	233	1284.839	1249.061	1206.836	1163.027	1123.85	1084.586	1043.081	1000.337	953.766	904.335	853.121	804.852	760.487	717.493	676.726	641.389	605.58
"Finland"	246	5561.477	5563.058	5522.627	5443.984	5341.419	5219.944	5086.808	4939.768	4793.105	4639.484	4487.802	4326.083	4149.479	3970.858	3791.089	3615.936	3442.926
"Iceland"	352	337.231	342.116	344.358	344.785	343.555	340.27	335.066	327.507	318.138	308.308	298.075	286.713	274.384	261.468	248.134	234.692	221.623
"Ireland"	372	4722.084	4698.387	4659.344	4612.641	4559.257	4507.699	4427.79	4312.595	4166.682	4006.13	3830.496	3673.191	3520.23	3380.219	3240.985	3099.04	2945.924
"Latvia"	428	1849.856	1729.939	1615.615	1502.638	1398.663	1301.902	1207.297	1117.523	1032.144	949.29	873.101	802.722	735.625	678.571	629.414	585.635	541.299
"Lithuania"	440	2644.369	2425.167	2215.951	2015.271	1833.562	1667.959	1511.66	1367.601	1234.663	1112.522	1001.506	903.206	814.957	736.771	668.298	607.188	547.722
"Norway"	578	5505.235	5788.301	6052.47	6296.436	6521.652	6723.572	6911.431	7079.093	7223.033	7350.597	7474.077	7585.314	7669.884	7725.223	7758.743	7801.415	7820.844
"Sweden"	752	10067.104	10277.795	10410.385	10476.87	10527.784	10574.165	10613.813	10619.492	10590.678	10532.689	10477.602	10423.395	10338.504	10225.568	10099.885	9993.684	9875.183
"United Kingdom"	826	66039.851	66855.24	67172.357	67274.588	67146.588	66823.466	66184.849	65153.019	63887.557	62481.325	61070.719	59653.631	58123.087	56432.018	54661.587	52920.443	51202.695
"Albania"	8	2905.679	2895.619	2844.876	2776.863	2698.885	2606.08	2505.054	2394.144	2286.169	2177.815	2057.94	1923.937	1778.861	1627.953	1481.704	1352.111	1240.528
"Bosnia and Herzegovina"	70	3703.999	3533.558	3341.605	3138.137	2936.51	2724.798	2500.607	2279.026	2059.561	1854.603	1652.019	1458.772	1279.3	1119.575	982.014	864.148	760.056
"Croatia"	191	4108.952	3949.58	3775.823	3603.108	3425.51	3248.892	3061.884	2870.745	2677.576	2482.63	2295.139	2112.634	1941.648	1775.851	1621.359	1472.216	1333.041
"Greece"	300	10606.523	10235.575	9827.866	9434.148	9049.783	8648.472	8210.019	7708.13	7169.443	6612.995	6081.932	5591.469	5149.269	4746.11	4366.929	4002.903	3649.717
"Italy"	380	59174.643	58074.704	56691.887	55207.492	53644.523	51846.617	49817.903	47516.079	45022.145	42532.055	40119.219	37895.355	35873.198	34029.427	32257.696	30514.258	28832.019
"Malta"	470	419.475	417.451	412.882	406.586	397.812	386.842	374.637	361.476	347.061	332.03	315.884	299.097	281.905	264.99	247.897	231.726	216.896
"Montenegro"	499	616.121	597.836	574.273	549.103	521.862	491.652	459.341	426.115	392.189	358.727	326.74	295.902	265.285	236.191	209.011	183.086	160.288
"Portugal"	620	10029.601	9651.194	9234.889	8787.491	8335.918	7873.105	7377.423	6843.256	6276.83	5715.508	5176.665	4675.25	4239.158	3841.316	3469.93	3110.369	2776.384
"Serbia"	688	8575.571	8241.493	7878.739	7507.068	7132.942	6750.751	6356.729	5958.87	5557.853	5145.468	4750.96	4372.133	4010.147	3657.874	3317.296	2999.383	2696.978
"Slovenia"	705	2058.541	2033.807	1992.974	1946.316	1897.398	1840.433	1778.38	1707.528	1629.488	1552.635	1476.684	1405.333	1338.34	1279.174	1227.894	1179.03	1128.452
"Spain"	724	45280.834	44144.032	42864.279	41565.317	40202.732	38689.826	36915.495	34858.524	32535.803	30133.949	27758.507	25637.149	23800.275	22232.317	20838.845	19428.133	18021.282
"TFYR Macedonia"	807	2051.935	1999.248	1925.785	1840.195	1747.596	1651.506	1547.91	1440.903	1331.565	1218.497	1106.088	996.499	892.485	794.978	704.396	621.599	544.577
